Date,Open,High,Low,Close,Adj Close,Volume
2/4/2020,315.309998,319.640015,313.630005,318.850006,318.095062,34154100
2/5/2020,323.519989,324.76001,318.950012,321.450012,320.688934,29706700
2/6/2020,322.570007,325.220001,320.26001,325.209991,324.440002,26356400
2/7/2020,322.369995,323.399994,318,320.029999,320.029999,29421000
2/10/2020,314.179993,321.549988,313.850006,321.549988,321.549988,27337200
2/11/2020,323.600006,323.899994,318.709991,319.609985,319.609985,23580800
2/12/2020,321.470001,327.220001,321.470001,327.200012,327.200012,28432600
2/13/2020,324.190002,326.220001,323.350006,324.869995,324.869995,23686900
2/14/2020,324.73999,325.980011,322.850006,324.950012,324.950012,20028400
2/18/2020,315.359985,319.75,314.609985,319,319,38132800
2/19/2020,320,324.570007,320,323.619995,323.619995,23496000
2/20/2020,322.630005,324.649994,318.209991,320.299988,320.299988,25141500
2/21/2020,318.619995,320.450012,310.5,313.049988,313.049988,32388500
2/24/2020,297.26001,304.179993,289.230011,298.179993,298.179993,55398700
